station_id,model,lead_hours,n_samples,bias_c,mae_c,rmse_c,error_std_c
EGLC,icon_eu,30,89,0.01910112359550563,0.8820224719101124,1.230739249850916,1.237563258667317
EGLC,icon_eu,36,89,0.0033707865168538806,0.9606741573033708,1.268503497667825,1.2756860398697998
EGLC,icon_eu,42,89,0.05955056179775286,0.9674157303370786,1.3230455163002695,1.3291931165803008
EGLC,icon_eu,48,89,0.12247191011235947,0.9966292134831459,1.3172579623315406,1.3189831490574269
EGLC,icon_eu,54,88,0.08522727272727272,0.9670454545454544,1.3434605925133658,1.3484379871631695
EGLC,icon_eu,60,88,0.10909090909090909,0.9954545454545454,1.3826851347353748,1.3862739577346956
EGLC,icon_eu,66,88,0.12500000000000008,1.081818181818182,1.4974220271095011,1.5007469404634297
EGLC,icon_eu,72,88,0.08181818181818196,1.1659090909090908,1.5477256040573035,1.5544186520601577
EGLC,icon_eu,78,87,0.09999999999999991,1.2149425287356321,1.7082289006487084,1.7151852567918953
EGLC,icon_eu,84,87,0.19310344827586212,1.406896551724138,2.064422214678909,2.0672863407751265
EGLC,icon_eu,90,87,0.1356321839080461,1.4022988505747127,2.0345295143663034,2.041771746091663
EGLC,icon_eu,96,87,0.17701149425287352,1.427586206896552,1.9961457114022076,1.9998081971648536
EGLC,icon_eu,102,86,0.04534883720930245,1.4197674418604649,2.065075031014837,2.076686103145738
EGLC,icon_eu,108,86,-0.05697674418604639,1.5453488372093025,2.24382874610797,2.256261389616977
EGLC,icon_eu,114,86,0.047674418604651075,1.5965116279069769,2.4164889001713132,2.4301888933693077
EGLC,icon_eu,120,86,-0.16744186046511625,1.5348837209302326,2.154713599918657,2.160797339788915
EGLC,ukmo_global_deterministic_10km,6,89,-1.8460674157303372,1.852808988764045,2.2610775993124075,1.3129647384809624
EGLC,ukmo_global_deterministic_10km,12,89,-0.598876404494382,0.9022471910112357,1.127540826137458,0.9607637092465071
EGLC,ukmo_global_deterministic_10km,18,89,-0.7415730337078652,1.0629213483146067,1.449912821865934,1.2529790853623475
EGLC,ukmo_global_deterministic_10km,24,90,-0.6099999999999999,1.0033333333333334,1.3632885078205403,1.226033157533183
EGLC,ukmo_global_deterministic_10km,30,89,-0.548314606741573,0.952808988764045,1.2793080995144,1.1623948984307593
